Survey Number,Question Number,Question Type,Algorithm,Answer
5,5,Best Portmanteau,C,O
5,6,Funniest,C,E
5,7,Funniest,P,O
5,8,Funniest,C,C
5,9,Funniest,P,O
5,10,Funniest,P,O
6,1,Best Portmanteau,P,E
6,2,Best Portmanteau,C,C
6,3,Best Portmanteau,C,C
6,4,Best Portmanteau,P,E
6,5,Best Portmanteau,P,C
6,6,Funniest,C,E
6,7,Funniest,C,C
6,8,Funniest,C,E
6,9,Funniest,P,C
6,10,Funniest,C,E
7,1,Best Portmanteau,P,
7,2,Best Portmanteau,C,
7,3,Best Portmanteau,C,
7,4,Best Portmanteau,C,
7,5,Best Portmanteau,C,
7,6,Funniest,C,
7,7,Funniest,C,
7,8,Funniest,C,
7,9,Funniest,C,
7,10,Funniest,C,
8,1,Best Portmanteau,P,C
8,2,Best Portmanteau,P,O
8,3,Best Portmanteau,C,C
8,4,Best Portmanteau,P,O
8,5,Best Portmanteau,P,C
8,6,Funniest,P,O
8,7,Funniest,C,E
8,8,Funniest,C,E
8,9,Funniest,P,E
8,10,Funniest,P,O
9,1,Best Portmanteau,C,
9,2,Best Portmanteau,P,
9,3,Best Portmanteau,P,
9,4,Best Portmanteau,P,
9,5,Best Portmanteau,C,
9,6,Funniest,C,
9,7,Funniest,P,
9,8,Funniest,P,
9,9,Funniest,P,
9,10,Funniest,C,
10,1,Best Portmanteau,C,E
10,2,Best Portmanteau,P,C
10,3,Best Portmanteau,P,C
10,4,Best Portmanteau,P,C
10,5,Best Portmanteau,P,C
10,6,Funniest,C,C
10,7,Funniest,P,E
10,8,Funniest,P,E
10,9,Funniest,C,E
10,10,Funniest,C,C
11,1,Best Portmanteau,C,
11,2,Best Portmanteau,C,
11,3,Best Portmanteau,C,
11,4,Best Portmanteau,P,
11,5,Best Portmanteau,C,
11,6,Funniest,C,
11,7,Funniest,P,
11,8,Funniest,C,
11,9,Funniest,P,
11,10,Funniest,P,
12,1,Best Portmanteau,P,C
12,2,Best Portmanteau,C,O
12,3,Best Portmanteau,P,O
12,4,Best Portmanteau,P,O
12,5,Best Portmanteau,C,O
12,6,Funniest,C,E
12,7,Funniest,P,O
12,8,Funniest,C,O
12,9,Funniest,C,O
12,10,Funniest,C,O
13,1,Best Portmanteau,C,C
13,2,Best Portmanteau,P,C
13,3,Best Portmanteau,P,C
13,4,Best Portmanteau,P,O
13,5,Best Portmanteau,C,O
13,6,Funniest,C,E
13,7,Funniest,C,E
13,8,Funniest,P,E
13,9,Funniest,P,O
13,10,Funniest,C,C
14,1,Best Portmanteau,C,O
14,2,Best Portmanteau,C,O
14,3,Best Portmanteau,C,O
14,4,Best Portmanteau,C,C
14,5,Best Portmanteau,P,E
14,6,Funniest,P,E
14,7,Funniest,C,E
14,8,Funniest,P,C
14,9,Funniest,C,E
14,10,Funniest,C,O
15,1,Best Portmanteau,C,C
15,2,Best Portmanteau,P,C
15,3,Best Portmanteau,P,E
15,4,Best Portmanteau,C,C
15,5,Best Portmanteau,P,C
15,6,Funniest,C,E
15,7,Funniest,C,O
15,8,Funniest,C,O
15,9,Funniest,C,C
15,10,Funniest,C,C
16,1,Best Portmanteau,P,O
16,2,Best Portmanteau,C,O
16,3,Best Portmanteau,C,C
16,4,Best Portmanteau,C,O
16,5,Best Portmanteau,C,C
16,6,Funniest,P,O
16,7,Funniest,C,C
16,8,Funniest,C,C
16,9,Funniest,P,E
16,10,Funniest,P,C
17,1,Best Portmanteau,C,
17,2,Best Portmanteau,C,
17,3,Best Portmanteau,C,
17,4,Best Portmanteau,C,
17,5,Best Portmanteau,P,
17,6,Funniest,C,
17,7,Funniest,P,
17,8,Funniest,P,
17,9,Funniest,P,
17,10,Funniest,P,
18,1,Best Portmanteau,C,O
18,2,Best Portmanteau,P,E
18,3,Best Portmanteau,C,E
18,4,Best Portmanteau,C,E
18,5,Best Portmanteau,P,E
18,6,Funniest,P,E
18,7,Funniest,C,E
18,8,Funniest,P,E
18,9,Funniest,C,O
18,10,Funniest,C,E
19,1,Best Portmanteau,P,E
19,2,Best Portmanteau,C,O
19,3,Best Portmanteau,P,O
19,4,Best Portmanteau,P,O
19,5,Best Portmanteau,P,O
19,6,Funniest,C,E
19,7,Funniest,P,O
19,8,Funniest,P,E
19,9,Funniest,P,E
19,10,Funniest,P,E
20,1,Best Portmanteau,P,
20,2,Best Portmanteau,P,
20,3,Best Portmanteau,P,
20,4,Best Portmanteau,C,
20,5,Best Portmanteau,C,
20,6,Funniest,C,
20,7,Funniest,C,
20,8,Funniest,C,
20,9,Funniest,C,
20,10,Funniest,P,
